home_team_name,away_team_name,home_wins,year,stadium_name,city,attendance,capacity,league
Winnipeg Jets,St Louis Blues,0,2019,Bell MTS Place,"Winnipeg, Manitoba",,"16,345",NHL
Philadelphia Flyers,Pittsburgh Penguins,0,2006,Wachovia Center,"Philadelphia, Pennsylvania",,"20,306",NHL
Los Angeles Kings,San Jose Sharks,0,2006,STAPLES Center,"Los Angeles, California",,"20,000",NHL
Colorado Avalanche,Vancouver Canucks,0,2012,Pepsi Center,"Denver, Colorado",,"21,000",NHL
Edmonton Oilers,Vancouver Canucks,1,2008,Rexall Place,"Edmonton, Alberta",,"17,100",NHL
Calgary Flames,San Jose Sharks,1,2009,Pengrowth Saddledome,"Calgary, Alberta",,"19,289",NHL
Pittsburgh Penguins,NY Islanders Islanders,1,2013,CONSOL Energy Center,"Pittsburgh, Pennsylvania",,"19,758",NHL
Toronto Maple Leafs,Philadelphia Flyers,1,2016,Air Canada Centre,"Toronto, Ontario",,"19,800",NHL
Winnipeg Jets,Phoenix Coyotes,1,2011,MTS Centre,"Winnipeg, Manitoba",,"16,345",NHL
NY Islanders Islanders,Toronto Maple Leafs,0,2011,Nassau Coliseum,"New York, New York",,"14,500",NHL
