stadium_id,stadium_name,capacity
68,Stade Olympique ,
69,Citi Field Stadium,
70,Camping World Stadium,
71,Bobby Dodd Stadium,
72,Mercedes-Benz Stadium,
72,Mercedes-Benz Stadium,71000
73,TCF Bank Stadium,
73,TCF Bank Stadium,"50,805"
74,Allianz Field,
75,TQL Stadium,
76,Nippert Stadium,
77,Nissan Stadium,
77,Nissan Stadium,"69,143"
78,GEODIS Park,
79,DRV PNK Stadium,
80,Inter Miami CF Stadium,
81,Soldier Field,
81,Soldier Field,"61,500"
82,SeatGeek Stadium,
83,Bridgeview Stadium,
84,Banc of California Stadium,
85,Bank of America Stadium,
85,Bank of America Stadium,"73,778"
86,Q2 Stadium,
87,Smoothie King Center,17791.0
88,Vivint Smart Home Arena,20148.0
89,Quicken Loans Arena,20562.0
90,Wells Fargo Center,21000.0
90,Wells Fargo Center,"20,306"
91,State Farm Arena,18729.0
92,TD Garden,18624.0
92,TD Garden,"19,580"
93,Barclays Center,19000.0
93,Barclays Center,"19,000"
94,Madison Square Garden,19763.0
94,Madison Square Garden,"20,789"
95,Toyota Center,18104.0
96,Target Center,19356.0
97,Chesapeake Energy Arena,19163.0
98,Golden 1 Center,17500.0
99,Staples Center,19060.0
100,Little Caesars Arena,21000.0
100,Little Caesars Arena,"19,515"
101,AmericanAirlines Arena,19600.0
102,Talking Stick Resort Arena,18442.0
103,Pepsi Center,19099.0
103,Pepsi Center,"21,000"
104,Bankers Life Fieldhouse,18345.0
105,Scotiabank Arena,19800.0
105,Scotiabank Arena,"19,800"
106,Fiserv Forum,17500.0
107,Spectrum Center,19026.0
108,United Center,21711.0
108,United Center,"23,500"
109,American Airlines Center,19200.0
109,American Airlines Center,"20,000"
110,FedExForum,18119.0
111,Amway Center,20000.0
112,Capital One Arena,20647.0
112,Capital One Arena,"20,000"
113,Moda Center,19980.0
114,Chase Center,19596.0
115,AT&T Center,18694.0
116,MetLife Stadium,"82,500"
117,Highmark Stadium,"73,967"
118,Paycor Stadium,"65,515"
119,FirstEnergy Stadium,"68,000"
120,Lambeau Field,"80,735"
121,Hard Rock Stadium,"65,326"
122,FedEx Field,"79,000"
123,TIAA Bank Field,"67,264"
124,Empower Field at Mile High,"76,125"
125,Raymond James Stadium,"65,890"
126,NRG Stadium,"71,500"
127,Georgia Dome,"71,250"
128,Texas Stadium,"65,675"
129,AT&T Stadium,"80,000"
130,RCA Dome,"65,675"
131,Lucas Oil Stadium,"63,000"
132,Arrowhead Stadium,"76,416"
133,Caesars Superdome,"76,468"
134,M&T Bank Stadium,"71,008"
135,Edward Jones Dome,66965
136,Mall of America Field,"64,111"
137,U.S. Bank Stadium,"66,200"
138,Qualcomm Stadium,"71,500"
139,Candlestick Park,"69,732"
140,Heinz Field,"65,500"
140,Heinz Field,"68,400"
141,Lincoln Financial Field,"69,176"
141,Lincoln Financial Field,"67,594"
142,State Farm Stadium,"63,400"
143,Ford Field,"65,000"
144,SoFi Stadium,70240
145,Allegiant Stadium,65000
146,Notre Dame Stadium,"77,622"
147,Hartwall Arena,"13,349"
148,Rogers Place,"18,500"
149,KeyBank Center,"19,200"
150,First Niagara Center,"19,200"
151,HSBC Arena,"19,200"
152,Ericsson Globe,"16,000"
153,Ralph Wilson Stadium,"71,608"
154,MTS Centre,"16,345"
155,Bell MTS Place,"16,345"
156,Mosaic Stadium,"33,350"
157,Investors Group Field,"33,000"
158,PNC Arena,"20,000"
159,RBC Center,"20,000"
160,Honda Center,"18,336"
161,Arrowhead Pond,"18,336"
162,O2 Arena,"20,000"
163,Centre Bell,"21,000"
164,STAPLES Center,"20,000"
165,O2 Arena Berlin,"17,000"
166,Falcon Stadium,"46,692"
167,PPG Paints Arena,"19,758"
168,CONSOL Energy Center,"19,758"
169,Mellon Arena,"17,181"
170,Cotton Bowl Stadium,"92,100"
171,Gila River Arena,"18,300"
172,Prudential Center,"19,500"
173,Continental Airlines Arena,"20,049"
174,Scandinavium,"12,044"
175,Scotiabank Saddledome,"19,289"
176,Pengrowth Saddledome,"19,289"
177,McMahon Stadium,"46,020"
